Column1;Column2;Column3;Column4;Column5;Column6
# Red box data ;;;;;
# slow cooling cycle (mol con 0.50);;;;;
# t0: 2022              3              8             16             16         32.004;;;;;
# T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.91962e+02 ; -3.29439e-01 ; 8.40247e-04 ; -1.69416e-05 ; 9.58174e-04 ; 4.87120e+01 
2.91636e+02 ; -3.49781e-01 ; 8.26245e-04 ; -1.79810e-05 ; 9.41491e-04 ; 4.97210e+01 
2.91357e+02 ; -3.67042e-01 ; 8.09294e-04 ; -1.88622e-05 ; 9.27222e-04 ; 5.07360e+01 
2.90995e+02 ; -3.81195e-01 ; 7.91353e-04 ; -1.95813e-05 ; 9.08685e-04 ; 5.17370e+01 
2.90627e+02 ; -4.00924e-01 ; 7.75832e-04 ; -2.05860e-05 ; 8.89802e-04 ; 5.27520e+01 
2.90296e+02 ; -4.14684e-01 ; 7.56055e-04 ; -2.12845e-05 ; 8.72898e-04 ; 5.37580e+01 
2.89897e+02 ; -4.25766e-01 ; 7.36165e-04 ; -2.18432e-05 ; 8.52454e-04 ; 5.47750e+01 
2.89493e+02 ; -4.39189e-01 ; 7.18188e-04 ; -2.25213e-05 ; 8.31783e-04 ; 5.57740e+01 
2.89134e+02 ; -4.50579e-01 ; 6.97553e-04 ; -2.30958e-05 ; 8.13395e-04 ; 5.67890e+01 
2.88703e+02 ; -4.58399e-01 ; 6.78450e-04 ; -2.34850e-05 ; 7.91335e-04 ; 5.77880e+01 
2.88279e+02 ; -4.69279e-01 ; 6.56646e-04 ; -2.40307e-05 ; 7.69585e-04 ; 5.88020e+01 
2.87880e+02 ; -4.78309e-01 ; 6.34020e-04 ; -2.44829e-05 ; 7.49183e-04 ; 5.98190e+01 
2.87432e+02 ; -4.84783e-01 ; 6.14184e-04 ; -2.48032e-05 ; 7.26223e-04 ; 6.08170e+01 
2.87040e+02 ; -4.91085e-01 ; 5.90753e-04 ; -2.51159e-05 ; 7.06178e-04 ; 6.18190e+01 
2.86580e+02 ; -4.96936e-01 ; 5.67394e-04 ; -2.54036e-05 ; 6.82640e-04 ; 6.28250e+01 
2.86107e+02 ; -5.02483e-01 ; 5.46515e-04 ; -2.56751e-05 ; 6.58405e-04 ; 6.38440e+01 
2.85688e+02 ; -5.06326e-01 ; 5.22476e-04 ; -2.58608e-05 ; 6.36947e-04 ; 6.48410e+01 
2.85227e+02 ; -5.08559e-01 ; 4.98295e-04 ; -2.59630e-05 ; 6.13350e-04 ; 6.58570e+01 
2.84746e+02 ; -5.12300e-01 ; 4.77576e-04 ; -2.61416e-05 ; 5.88715e-04 ; 6.68570e+01 
2.84339e+02 ; -5.14351e-01 ; 4.52983e-04 ; -2.62357e-05 ; 5.67871e-04 ; 6.78410e+01 
2.83854e+02 ; -5.17878e-01 ; 4.28498e-04 ; -2.64029e-05 ; 5.43028e-04 ; 6.88590e+01 
2.83372e+02 ; -5.19235e-01 ; 4.07147e-04 ; -2.64595e-05 ; 5.18346e-04 ; 6.98590e+01 
2.82947e+02 ; -5.20949e-01 ; 3.82328e-04 ; -2.65358e-05 ; 4.96727e-04 ; 7.08730e+01 
2.82450e+02 ; -5.21365e-01 ; 3.57562e-04 ; -2.65441e-05 ; 4.71520e-04 ; 7.18890e+01 
2.81968e+02 ; -5.23488e-01 ; 3.36426e-04 ; -2.66397e-05 ; 4.47070e-04 ; 7.28930e+01 
2.81541e+02 ; -5.24558e-01 ; 3.11315e-04 ; -2.66830e-05 ; 4.25416e-04 ; 7.38760e+01 
