T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
8.78830e+01 ; -5.17541e+00 ; -3.66516e-03 ; -1.32089e-04 ; -7.53784e-03 ; 5.08580e+01 
8.63332e+01 ; -5.26640e+00 ; -3.79334e-03 ; -1.32089e-04 ; -7.57751e-03 ; 5.18560e+01 
8.49025e+01 ; -5.35039e+00 ; -3.92457e-03 ; -1.32089e-04 ; -7.61414e-03 ; 5.28740e+01 
8.37106e+01 ; -5.42036e+00 ; -4.03748e-03 ; -1.32089e-04 ; -7.64465e-03 ; 5.38740e+01 
8.25821e+01 ; -5.48336e+00 ; -4.16870e-03 ; -1.32089e-04 ; -7.67212e-03 ; 5.48710e+01 
8.15254e+01 ; -5.53934e+00 ; -4.27857e-03 ; -1.32089e-04 ; -7.69653e-03 ; 5.58850e+01 
8.07325e+01 ; -5.58134e+00 ; -4.40980e-03 ; -1.32089e-04 ; -7.71484e-03 ; 5.69170e+01 
8.02041e+01 ; -5.60934e+00 ; -4.54102e-03 ; -1.32089e-04 ; -7.72705e-03 ; 5.79320e+01 
7.95438e+01 ; -5.64432e+00 ; -4.67224e-03 ; -1.32089e-04 ; -7.74230e-03 ; 5.89470e+01 
7.90153e+01 ; -5.67231e+00 ; -4.78211e-03 ; -1.32089e-04 ; -7.75451e-03 ; 5.99620e+01 
7.87511e+01 ; -5.68693e+00 ; -4.91333e-03 ; -1.32104e-04 ; -7.76061e-03 ; 6.09780e+01 
7.84866e+01 ; -5.70032e+00 ; -5.04456e-03 ; -1.32089e-04 ; -7.76672e-03 ; 6.19780e+01 
7.82224e+01 ; -5.71432e+00 ; -5.15442e-03 ; -1.32089e-04 ; -7.77283e-03 ; 6.29770e+01 
7.79585e+01 ; -5.73287e+00 ; -5.28870e-03 ; -1.32089e-04 ; -7.77892e-03 ; 6.39910e+01 
7.76940e+01 ; -5.75320e+00 ; -5.41687e-03 ; -1.32089e-04 ; -7.78503e-03 ; 6.50040e+01 
7.75619e+01 ; -5.76398e+00 ; -5.52979e-03 ; -1.32104e-04 ; -7.78809e-03 ; 6.60080e+01 
7.74298e+01 ; -5.77350e+00 ; -5.66101e-03 ; -1.32089e-04 ; -7.79114e-03 ; 6.70090e+01 
7.72976e+01 ; -5.78428e+00 ; -5.79224e-03 ; -1.32104e-04 ; -7.79419e-03 ; 6.80220e+01 
7.71658e+01 ; -5.79379e+00 ; -5.90211e-03 ; -1.32089e-04 ; -7.79724e-03 ; 6.90200e+01 
7.70337e+01 ; -5.80394e+00 ; -6.03333e-03 ; -1.32089e-04 ; -7.80029e-03 ; 7.00270e+01 
7.70334e+01 ; -5.80396e+00 ; -6.14319e-03 ; -1.32089e-04 ; -7.80029e-03 ; 7.10310e+01 
7.70334e+01 ; -5.80396e+00 ; -6.27442e-03 ; -1.32089e-04 ; -7.80029e-03 ; 7.20340e+01 
7.69013e+01 ; -5.81474e+00 ; -6.40565e-03 ; -1.32104e-04 ; -7.80334e-03 ; 7.30340e+01 
7.69013e+01 ; -5.81474e+00 ; -6.51855e-03 ; -1.32104e-04 ; -7.80334e-03 ; 7.40440e+01 
7.69013e+01 ; -5.81411e+00 ; -6.64979e-03 ; -1.32089e-04 ; -7.80334e-03 ; 7.50420e+01 
7.69013e+01 ; -5.81411e+00 ; -6.77796e-03 ; -1.32089e-04 ; -7.80334e-03 ; 7.60570e+01 
7.67692e+01 ; -5.82490e+00 ; -6.88782e-03 ; -1.32104e-04 ; -7.80640e-03 ; 7.70660e+01 
7.66373e+01 ; -5.83440e+00 ; -7.02209e-03 ; -1.32089e-04 ; -7.80944e-03 ; 7.80800e+01 
7.67695e+01 ; -5.82488e+00 ; -7.15027e-03 ; -1.32104e-04 ; -7.80639e-03 ; 7.90920e+01 
7.66373e+01 ; -5.83503e+00 ; -7.26319e-03 ; -1.32104e-04 ; -7.80944e-03 ; 8.01010e+01 
7.66371e+01 ; -5.83505e+00 ; -7.39441e-03 ; -1.32104e-04 ; -7.80945e-03 ; 8.11170e+01 
7.66373e+01 ; -5.83440e+00 ; -7.52563e-03 ; -1.32089e-04 ; -7.80944e-03 ; 8.21190e+01 
7.65052e+01 ; -5.84455e+00 ; -7.63550e-03 ; -1.32089e-04 ; -7.81249e-03 ; 8.31200e+01 
7.66371e+01 ; -5.83505e+00 ; -7.76672e-03 ; -1.32104e-04 ; -7.80945e-03 ; 8.41210e+01 
7.63731e+01 ; -4.36933e+00 ; -7.88880e-03 ; -9.85775e-05 ; -7.81555e-03 ; 8.51330e+01 
7.57126e+01 ; -6.01746e-01 ; -7.90710e-03 ; -1.34594e-05 ; -7.83080e-03 ; 8.61450e+01 
7.54483e+01 ; -3.57123e-01 ; -7.91627e-03 ; -7.96051e-06 ; -7.83691e-03 ; 8.71590e+01 
7.53160e+01 ; -2.34825e-01 ; -7.91932e-03 ; -5.22544e-06 ; -7.83997e-03 ; 8.81760e+01 
7.51839e+01 ; -1.52930e-01 ; -7.92236e-03 ; -3.39727e-06 ; -7.84302e-03 ; 8.91760e+01 
7.51839e+01 ; -1.07570e-01 ; -7.92542e-03 ; -2.38961e-06 ; -7.84302e-03 ; 9.01770e+01 
7.51839e+01 ; -7.97058e-02 ; -7.92847e-03 ; -1.77062e-06 ; -7.84302e-03 ; 9.11920e+01 
7.50520e+01 ; -6.62091e-02 ; -7.92542e-03 ; -1.46830e-06 ; -7.84606e-03 ; 9.21920e+01 
7.50520e+01 ; -5.45264e-02 ; -7.92542e-03 ; -1.20922e-06 ; -7.84606e-03 ; 9.32080e+01 
7.50520e+01 ; -5.06305e-02 ; -7.92847e-03 ; -1.12282e-06 ; -7.84606e-03 ; 9.42060e+01 
7.50520e+01 ; -4.60867e-02 ; -7.92847e-03 ; -1.02205e-06 ; -7.84606e-03 ; 9.52050e+01 
