T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.98548e+02 ; -5.49168e-03 ; 1.17634e-03 ; -2.84556e-07 ; 1.29861e-03 ; 1.33400e+00 
2.98557e+02 ; -5.27786e-03 ; 1.17772e-03 ; -2.73478e-07 ; 1.29911e-03 ; 2.33500e+00 
2.98564e+02 ; -5.47534e-03 ; 1.17853e-03 ; -2.83712e-07 ; 1.29945e-03 ; 3.35000e+00 
2.98557e+02 ; -5.55459e-03 ; 1.17575e-03 ; -2.87817e-07 ; 1.29908e-03 ; 4.36400e+00 
2.98582e+02 ; -5.50023e-03 ; 1.17742e-03 ; -2.85006e-07 ; 1.30038e-03 ; 5.37800e+00 
2.98584e+02 ; -5.94079e-03 ; 1.17874e-03 ; -3.07835e-07 ; 1.30050e-03 ; 6.38700e+00 
2.98589e+02 ; -6.08076e-03 ; 1.17930e-03 ; -3.15089e-07 ; 1.30072e-03 ; 7.40000e+00 
2.98596e+02 ; -6.31891e-03 ; 1.17967e-03 ; -3.27431e-07 ; 1.30109e-03 ; 8.41600e+00 
2.98612e+02 ; -6.00469e-03 ; 1.18011e-03 ; -3.11153e-07 ; 1.30194e-03 ; 9.41800e+00 
2.98619e+02 ; -5.99543e-03 ; 1.18001e-03 ; -3.10675e-07 ; 1.30227e-03 ; 1.04140e+01 
2.98619e+02 ; -7.43001e-03 ; 1.18058e-03 ; -3.85012e-07 ; 1.30231e-03 ; 1.14290e+01 
2.98624e+02 ; -7.52818e-03 ; 1.17974e-03 ; -3.90101e-07 ; 1.30255e-03 ; 1.24130e+01 
2.98636e+02 ; -7.35015e-03 ; 1.18043e-03 ; -3.80879e-07 ; 1.30319e-03 ; 1.34370e+01 
2.98645e+02 ; -7.57146e-03 ; 1.18173e-03 ; -3.92350e-07 ; 1.30364e-03 ; 1.44400e+01 
2.98649e+02 ; -8.15578e-03 ; 1.18187e-03 ; -4.22630e-07 ; 1.30383e-03 ; 1.54540e+01 
2.98646e+02 ; -7.55897e-03 ; 1.18195e-03 ; -3.91703e-07 ; 1.30370e-03 ; 1.64710e+01 
2.98652e+02 ; -9.28212e-03 ; 1.18214e-03 ; -4.80998e-07 ; 1.30400e-03 ; 1.74840e+01 
2.98651e+02 ; -9.06510e-03 ; 1.18228e-03 ; -4.69752e-07 ; 1.30398e-03 ; 1.84990e+01 
2.98660e+02 ; -9.24949e-03 ; 1.18245e-03 ; -4.79310e-07 ; 1.30444e-03 ; 1.95130e+01 
2.98667e+02 ; -8.58645e-03 ; 1.18294e-03 ; -4.44954e-07 ; 1.30478e-03 ; 2.05270e+01 
2.98671e+02 ; -9.30585e-03 ; 1.18288e-03 ; -4.82235e-07 ; 1.30497e-03 ; 2.15340e+01 
2.98678e+02 ; -8.74318e-03 ; 1.18360e-03 ; -4.53079e-07 ; 1.30536e-03 ; 2.25490e+01 
2.98678e+02 ; -9.16637e-03 ; 1.18325e-03 ; -4.75009e-07 ; 1.30537e-03 ; 2.35640e+01 
2.98676e+02 ; -9.06872e-03 ; 1.18347e-03 ; -4.69948e-07 ; 1.30523e-03 ; 2.45780e+01 
2.98684e+02 ; -7.97651e-03 ; 1.18328e-03 ; -4.13352e-07 ; 1.30567e-03 ; 2.55930e+01 
2.98693e+02 ; -9.08054e-03 ; 1.18403e-03 ; -4.70567e-07 ; 1.30614e-03 ; 2.66080e+01 
2.98701e+02 ; -9.66534e-03 ; 1.18409e-03 ; -5.00875e-07 ; 1.30655e-03 ; 2.76240e+01 
2.98696e+02 ; -9.26660e-03 ; 1.18431e-03 ; -4.80210e-07 ; 1.30630e-03 ; 2.86400e+01 
2.98702e+02 ; -1.05480e-02 ; 1.18434e-03 ; -5.46619e-07 ; 1.30658e-03 ; 2.96390e+01 
2.98709e+02 ; -5.20725e-03 ; 1.18466e-03 ; -2.69851e-07 ; 1.30697e-03 ; 3.06430e+01 
2.98719e+02 ; -7.05237e-03 ; 1.18556e-03 ; -3.65472e-07 ; 1.30746e-03 ; 3.16250e+01 
2.98718e+02 ; -9.03533e-03 ; 1.18515e-03 ; -4.68233e-07 ; 1.30742e-03 ; 3.26410e+01 
2.98716e+02 ; -9.99888e-03 ; 1.18573e-03 ; -5.18166e-07 ; 1.30733e-03 ; 3.36560e+01 
2.98726e+02 ; -1.15993e-02 ; 1.18561e-03 ; -6.01107e-07 ; 1.30782e-03 ; 3.46730e+01 
2.98726e+02 ; -1.16275e-02 ; 1.18573e-03 ; -6.02569e-07 ; 1.30785e-03 ; 3.56900e+01 
2.98727e+02 ; -2.15178e-02 ; 1.18616e-03 ; -1.11511e-06 ; 1.30790e-03 ; 3.66740e+01 
2.98703e+02 ; -3.58157e-02 ; 1.18508e-03 ; -1.85604e-06 ; 1.30666e-03 ; 3.76900e+01 
2.98675e+02 ; -6.54869e-02 ; 1.18301e-03 ; -3.39358e-06 ; 1.30521e-03 ; 3.86920e+01 
2.98596e+02 ; -1.36968e-01 ; 1.18042e-03 ; -7.09734e-06 ; 1.30112e-03 ; 3.96910e+01 
2.98284e+02 ; -4.59051e-01 ; 1.16666e-03 ; -2.37813e-05 ; 1.28496e-03 ; 4.07070e+01 
2.97601e+02 ; -8.21883e-01 ; 1.14255e-03 ; -4.25460e-05 ; 1.24956e-03 ; 4.17060e+01 
2.96675e+02 ; -1.27377e+00 ; 1.09183e-03 ; -6.58669e-05 ; 1.20157e-03 ; 4.27220e+01 
2.95197e+02 ; -1.68572e+00 ; 1.01870e-03 ; -8.70176e-05 ; 1.12505e-03 ; 4.37260e+01 
2.93247e+02 ; -2.16675e+00 ; 9.20850e-04 ; -1.11593e-04 ; 1.02401e-03 ; 4.47400e+01 
