T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
7.86286e+01 ; -5.67990e+00 ; -4.90686e-03 ; -1.31790e-04 ; -7.76345e-03 ; 5.07080e+01 
7.81293e+01 ; -5.70680e+00 ; -5.01854e-03 ; -1.31790e-04 ; -7.77498e-03 ; 5.17090e+01 
7.77479e+01 ; -5.73599e+00 ; -5.14941e-03 ; -1.31789e-04 ; -7.78379e-03 ; 5.27220e+01 
7.73825e+01 ; -5.76402e+00 ; -5.27937e-03 ; -1.31789e-04 ; -7.79223e-03 ; 5.37220e+01 
7.70492e+01 ; -5.78963e+00 ; -5.39150e-03 ; -1.31791e-04 ; -7.79993e-03 ; 5.47380e+01 
7.68110e+01 ; -5.80775e+00 ; -5.52195e-03 ; -1.31788e-04 ; -7.80543e-03 ; 5.57540e+01 
7.65775e+01 ; -5.82569e+00 ; -5.65287e-03 ; -1.31788e-04 ; -7.81083e-03 ; 5.67560e+01 
7.63718e+01 ; -5.84149e+00 ; -5.76451e-03 ; -1.31789e-04 ; -7.81558e-03 ; 5.77560e+01 
7.62219e+01 ; -5.85284e+00 ; -5.89486e-03 ; -1.31786e-04 ; -7.81904e-03 ; 5.87700e+01 
7.60632e+01 ; -5.86509e+00 ; -6.02543e-03 ; -1.31788e-04 ; -7.82270e-03 ; 5.97870e+01 
7.59445e+01 ; -5.87420e+00 ; -6.13715e-03 ; -1.31788e-04 ; -7.82545e-03 ; 6.07870e+01 
7.58449e+01 ; -5.88172e+00 ; -6.26758e-03 ; -1.31785e-04 ; -7.82775e-03 ; 6.17720e+01 
7.57472e+01 ; -5.88921e+00 ; -6.39807e-03 ; -1.31785e-04 ; -7.83001e-03 ; 6.27900e+01 
7.56589e+01 ; -5.89605e+00 ; -6.51023e-03 ; -1.31787e-04 ; -7.83204e-03 ; 6.37900e+01 
7.55996e+01 ; -5.90052e+00 ; -6.64084e-03 ; -1.31785e-04 ; -7.83341e-03 ; 6.48050e+01 
7.55366e+01 ; -5.90536e+00 ; -6.77095e-03 ; -1.31785e-04 ; -7.83487e-03 ; 6.58070e+01 
7.54682e+01 ; -5.91063e+00 ; -6.88322e-03 ; -1.31786e-04 ; -7.83645e-03 ; 6.68080e+01 
7.54156e+01 ; -5.91468e+00 ; -7.01359e-03 ; -1.31786e-04 ; -7.83767e-03 ; 6.78080e+01 
7.53666e+01 ; -5.91830e+00 ; -7.12526e-03 ; -1.31783e-04 ; -7.83880e-03 ; 6.88240e+01 
7.53173e+01 ; -5.92216e+00 ; -7.25573e-03 ; -1.31785e-04 ; -7.83994e-03 ; 6.98400e+01 
7.53023e+01 ; -5.92332e+00 ; -7.38648e-03 ; -1.31785e-04 ; -7.84028e-03 ; 7.08390e+01 
7.52605e+01 ; -5.92651e+00 ; -7.49801e-03 ; -1.31785e-04 ; -7.84125e-03 ; 7.18410e+01 
7.52381e+01 ; -5.92851e+00 ; -7.62865e-03 ; -1.31791e-04 ; -7.84177e-03 ; 7.28420e+01 
7.51970e+01 ; -5.93171e+00 ; -7.75885e-03 ; -1.31792e-04 ; -7.84271e-03 ; 7.38440e+01 
7.51777e+01 ; -5.93329e+00 ; -7.87089e-03 ; -1.31794e-04 ; -7.84316e-03 ; 7.48730e+01 
7.46802e+01 ; -5.73514e-01 ; -7.94128e-03 ; -1.26579e-05 ; -7.85465e-03 ; 7.58900e+01 
7.42454e+01 ; -4.63937e-01 ; -7.95189e-03 ; -1.01826e-05 ; -7.86470e-03 ; 7.68920e+01 
7.39802e+01 ; -2.78641e-01 ; -7.95726e-03 ; -6.09505e-06 ; -7.87082e-03 ; 7.78900e+01 
7.38713e+01 ; -1.75177e-01 ; -7.96118e-03 ; -3.82656e-06 ; -7.87334e-03 ; 7.89070e+01 
