x, y
-0.0004464285714285714, 272.9349736379613
0.023660714285714285, 270.82601054481546
0.05133928571428571, 266.60808435852374
0.0875, 261.54657293497365
0.13392857142857142, 254.16520210896311
0.17991071428571428, 246.41476274165203
0.22857142857142856, 237.87346221441123
0.25669642857142855, 231.3884007029877
0.26875, 228.0140597539543
0.27901785714285715, 226.16871704745165
0.2830357142857143, 227.01230228471002
0.29375, 228.75219683655536
0.3209821428571428, 235.18453427065026
0.37276785714285715, 244.20035149384887
0.42142857142857143, 250.5799648506151
0.5183035714285714, 262.23198594024603
0.6486607142857143, 271.82776801405976
0.809375, 280.31634446397186
0.9334821428571428, 286.274165202109
1, 289.701230228471
