T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
2.83982e+02 ; -5.19931e-01 ; 4.33195e-04 ; -2.65110e-05 ; 5.49596e-04 ; 5.07420e+01 
2.83492e+02 ; -5.22104e-01 ; 4.08608e-04 ; -2.66089e-05 ; 5.24515e-04 ; 5.17570e+01 
2.83006e+02 ; -5.22507e-01 ; 3.83979e-04 ; -2.66167e-05 ; 4.99713e-04 ; 5.27710e+01 
2.82508e+02 ; -5.24794e-01 ; 3.62307e-04 ; -2.67202e-05 ; 4.74435e-04 ; 5.37870e+01 
2.82092e+02 ; -5.26374e-01 ; 3.37720e-04 ; -2.67898e-05 ; 4.53365e-04 ; 5.48050e+01 
2.81586e+02 ; -5.28513e-01 ; 3.12740e-04 ; -2.68854e-05 ; 4.27729e-04 ; 5.58060e+01 
2.81167e+02 ; -5.29330e-01 ; 2.90704e-04 ; -2.69160e-05 ; 4.06486e-04 ; 5.68210e+01 
2.80666e+02 ; -5.29869e-01 ; 2.65551e-04 ; -2.69302e-05 ; 3.81046e-04 ; 5.78200e+01 
2.80163e+02 ; -5.29625e-01 ; 2.40141e-04 ; -2.69046e-05 ; 3.55548e-04 ; 5.88340e+01 
2.79738e+02 ; -5.30439e-01 ; 2.18916e-04 ; -2.69348e-05 ; 3.34006e-04 ; 5.98340e+01 
2.79239e+02 ; -5.31111e-01 ; 1.93506e-04 ; -2.69558e-05 ; 3.08704e-04 ; 6.08500e+01 
2.78740e+02 ; -5.30717e-01 ; 1.68162e-04 ; -2.69228e-05 ; 2.83414e-04 ; 6.18670e+01 
2.78240e+02 ; -5.30685e-01 ; 1.46949e-04 ; -2.69081e-05 ; 2.58076e-04 ; 6.28830e+01 
2.77816e+02 ; -5.31080e-01 ; 1.21784e-04 ; -2.69150e-05 ; 2.36583e-04 ; 6.38820e+01 
2.77321e+02 ; -5.31685e-01 ; 9.67024e-05 ; -2.69295e-05 ; 2.11483e-04 ; 6.48970e+01 
2.76818e+02 ; -5.32700e-01 ; 7.50362e-05 ; -2.69646e-05 ; 1.85949e-04 ; 6.58990e+01 
2.76388e+02 ; -5.33534e-01 ; 4.95134e-05 ; -2.69929e-05 ; 1.64175e-04 ; 6.69000e+01 
2.75888e+02 ; -5.35413e-01 ; 2.76446e-05 ; -2.70717e-05 ; 1.38837e-04 ; 6.79000e+01 
2.75461e+02 ; -5.36421e-01 ; 2.82520e-06 ; -2.71087e-05 ; 1.17147e-04 ; 6.89000e+01 
